Station,More Link
Jasenovac HR,/results/HR3219_HYDRO?symbol%5BQ%5D=Q
Jasika RS,/results/RS47195_HYDRO?symbol%5BQ%5D=Q
Jásztelek HU,/results/HU444548_HYDRO?symbol%5BQ%5D=Q
Jenbach-Rotholz AT,/results/AT201681_HYDRO?symbol%5BQ%5D=Q
Jesenice na Dolenjskem SI,/results/SI3900_HYDRO?symbol%5BQ%5D=Q
Kajetansbrücke AT,/results/AT201178_HYDRO?symbol%5BQ%5D=Q
Kakanj n/B BA,/results/BA4042_HYDRO?symbol%5BQ%5D=Q
Kaloševići BA,/results/BA4510_HYDRO?symbol%5BQ%5D=Q
Kamanje HR,/results/HR4024_HYDRO?symbol%5BQ%5D=Q
Kamenín SK,/results/SK7335_HYDRO?symbol%5BQ%5D=Q
Karanci BG,/results/BG23850_HYDRO?symbol%5BQ%5D=Q
Karasica Villány HU,/results/HU446603_HYDRO?symbol%5BQ%5D=Q
Kelheim DE,/results/DE10053009_HYDRO?symbol%5BQ%5D=Q
Kendlbruck AT,/results/AT203976_HYDRO?symbol%5BQ%5D=Q
Kienhof DE,/results/DE15205501_HYDRO?symbol%5BQ%5D=Q
Kienstock AT,/results/AT207357_HYDRO?symbol%5BQ%5D=Q
Kindtal AT,/results/AT211243_HYDRO?symbol%5BQ%5D=Q
Kiseljak BA,/results/BA15086_HYDRO?symbol%5BQ%5D=Q
Kisköre alsó HU,/results/HU444537_HYDRO?symbol%5BQ%5D=Q
Ključ BA,/results/BA2310_HYDRO?symbol%5BQ%5D=Q
Komárno - most SK,/results/SK6849_HYDRO?symbol%5BQ%5D=Q
Komárom HU,/results/HU442522_HYDRO?symbol%5BQ%5D=Q
Körmend HU,/results/HU442132_HYDRO?symbol%5BQ%5D=Q
Korneuburg AT,/results/AT207241_HYDRO?symbol%5BQ%5D=Q
Körösladány HU,/results/HU444567_HYDRO?symbol%5BQ%5D=Q
Körösszakál HU,/results/HU444333_HYDRO?symbol%5BQ%5D=Q
Kössen-Hütte AT,/results/AT202382_HYDRO?symbol%5BQ%5D=Q
Kostajnica HR,/results/HR3217_HYDRO?symbol%5BQ%5D=Q
Kőszeg HU,/results/HU442563_HYDRO?symbol%5BQ%5D=Q
Kótaj HU,/results/HU444690_HYDRO?symbol%5BQ%5D=Q
Kozluk BA,/results/BA3030_HYDRO?symbol%5BQ%5D=Q
Kralje BA,/results/BA2030_HYDRO?symbol%5BQ%5D=Q
Kranjska Gora I SI,/results/SI3014_HYDRO?symbol%5BQ%5D=Q
Kroměříž CZ,/results/CZ403000_HYDRO?symbol%5BQ%5D=Q
Krottendorf AT,/results/AT213090_HYDRO?symbol%5BQ%5D=Q
Kučevo RS,/results/RS42720_HYDRO?symbol%5BQ%5D=Q
Kulen Vakuf BA,/results/BA2020_HYDRO?symbol%5BQ%5D=Q
Kunszentmárton HU,/results/HU444372_HYDRO?symbol%5BQ%5D=Q
Kupari HR,/results/HR4029_HYDRO?symbol%5BQ%5D=Q
Kurd HU,/results/HU442555_HYDRO?symbol%5BQ%5D=Q
Landeck-Bruggen AT,/results/AT202036_HYDRO?symbol%5BQ%5D=Q
Landeck-Perjen AT,/results/AT201293_HYDRO?symbol%5BQ%5D=Q
Landsberg DE,/results/DE12003001_HYDRO?symbol%5BQ%5D=Q
Landshut Birket DE,/results/DE16007004_HYDRO?symbol%5BQ%5D=Q
Lanžhot CZ,/results/CZ426000_HYDRO?symbol%5BQ%5D=Q
Laško I SI,/results/SI6200_HYDRO?symbol%5BQ%5D=Q
Laufen S. Keller DE,/results/DE18602009_HYDRO?symbol%5BQ%5D=Q
Launsdorf AT,/results/AT213157_HYDRO?symbol%5BQ%5D=Q
Leibnitz AT,/results/AT211458_HYDRO?symbol%5BQ%5D=Q
Lenartovce SK,/results/SK7820_HYDRO?symbol%5BQ%5D=Q
Letenye HU,/results/HU446501_HYDRO?symbol%5BQ%5D=Q
Lieboch AT,/results/AT211342_HYDRO?symbol%5BQ%5D=Q
Lienz AT,/results/AT212167_HYDRO?symbol%5BQ%5D=Q
Litija I SI,/results/SI3660_HYDRO?symbol%5BQ%5D=Q
Ljubičevski most RS,/results/RS47090_HYDRO?symbol%5BQ%5D=Q
Loipersbach AT,/results/AT208785_HYDRO?symbol%5BQ%5D=Q
Lugoj RO,/results/RO42109_HYDRO?symbol%5BQ%5D=Q
Lutzmannsburg (Weingartenbrücke) AT,/results/AT210500_HYDRO?symbol%5BQ%5D=Q
Mačkovac HR,/results/HR3207_HYDRO?symbol%5BQ%5D=Q
Maglaj Poljice BA,/results/BA4070_HYDRO?symbol%5BQ%5D=Q
